Object,L,H,W,Rigidity,Mass,Shape,Type,Duration,Action,Grasp
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,2,picking up,Precision pad abd 2-4
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,19,picking up,Power palm add 3-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,9,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,25,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,16,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,15,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,2,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,8,holding,Power pad abd 2
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,2,holding,Precision pad abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,2,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,6,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,1,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,8,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,1,holding,Intermediate add 2
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,0,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,4,holding,Precision pad abd 2-4
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,4,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,3,holding,Precision pad abd 2-4
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,2,holding,Precision pad abd 2-4
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,11,holding,Precision pad abd 2-3
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,6,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,2,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,1,holding,Power pad abd 2
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,7,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,16.68,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,4.8,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,9.96,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,7.24,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,13.32,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,7.28,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,1.16,holding,Precision pad abd 2-3
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,6.48,holding,Precision pad abd 2-3
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,8.76,holding,Precision pad abd 2-3
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,1.2,holding,Power pad abd 2-3
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,6.56,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,0.28,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,2.8,holding,Power pad abd 2-3
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,0.8,holding,Power pad abd 2
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,1.28,holding,Power pad abd 2-3
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,0.36,holding,Precision pad abd 2-3
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,3.88,holding,Power pad abd 2-3
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,1.48,holding,Intermediate add 2
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,1.6,holding,Intermediate abd 2
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,4,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,1.96,holding,Intermediate add 2
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,11.56,holding,Precision pad add 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,7.56,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,0.64,holding,Intermediate add 2
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,2.04,holding,Intermediate add 2
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,1.52,holding,Precision pad abd 2-4
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,1.28,holding,Precision pad abd 2-3
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,0.84,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,1,holding,Precision pad abd 2-4
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,1.24,holding,Power pad abd 2-3
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,3.96,holding,Power pad abd 2-3
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,1.24,holding,Power pad abd 2-3
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,1.88,holding,Power pad abd 2-3
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,3.88,holding,Power pad abd 2-3
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,5.32,holding,Power pad abd 2-3
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,4.84,holding,Power palm abd 2-5
spray bottle,15,6,3.5,squeezable,400,bladed,irregular,1.8,holding,Power palm abd 2-5
